,altitudes_m,density_kg_m3,viscosity_Pa_s,residual_kg_m3,density_hybrid_kg_m3
135,27000.0,0.0287769,1.47164e-05,-0.022345641988547126,0.0287769
136,27200.0,0.0278865,1.47275e-05,-0.02204719987349861,0.0278865
137,27400.0,0.0270244,1.47387e-05,-0.021748103988851363,0.0270244
138,27600.0,0.0261896,1.47499e-05,-0.021448711428330672,0.0261896
139,27800.0,0.0253814,1.4761e-05,-0.021149094236288794,0.0253814
140,28000.0,0.0245988,1.47722e-05,-0.02084963906003182,0.0245988
141,28200.0,0.023841,1.47833e-05,-0.020550546810231607,0.023841
142,28400.0,0.0231072,1.47945e-05,-0.02025203232923469,0.0231072
143,28600.0,0.0223966,1.48056e-05,-0.01995432406708462,0.0223966
144,28800.0,0.0217084,1.48168e-05,-0.0196576637650783,0.0217084
145,29000.0,0.021042,1.48279e-05,-0.019362106146681237,0.021042
146,29200.0,0.0203966,1.4839e-05,-0.01906791861563035,0.0203966
147,29400.0,0.0197716,1.48502e-05,-0.018775180961057382,0.0197716
148,29600.0,0.0191662,1.48613e-05,-0.018484185069469652,0.0191662
149,29800.0,0.0185798,1.48724e-05,-0.018195034643428518,0.0185798
150,30000.0,0.0180119,1.48835e-05,-0.01790774492676993,0.0180119
151,30200.0,0.0174619,1.48946e-05,-0.017622442436215014,0.0174619
152,30400.0,0.0169291,1.49058e-05,-0.017339364699221798,0.0169291
153,30600.0,0.016413,1.49169e-05,-0.017058559997933386,0.016413
154,30800.0,0.015913,1.4928e-05,-0.01678018711908025,0.015913
155,31000.0,0.0154288,1.4939e-05,-0.016504115109698736,0.0154288
156,31200.0,0.0149596,1.49501e-05,-0.01623072303853015,0.0149596
157,31400.0,0.0145051,1.49612e-05,-0.015959899762968473,0.0145051
158,31600.0,0.0140648,1.49723e-05,-0.015691743701427688,0.014064799999999999
159,31800.0,0.0136383,1.49834e-05,-0.015426262611002583,0.0136383
160,32000.0,0.013225,1.49945e-05,-0.015163673370300026,0.013225
161,32200.000000000004,0.0128048,1.50254e-05,-0.01492370176732047,0.0128048
162,32400.0,0.0123989,1.50564e-05,-0.01468478229227223,0.0123989
163,32600.0,0.0120068,1.50873e-05,-0.014447057935203672,0.0120068
164,32800.0,0.011628,1.51182e-05,-0.01421067998834169,0.011628
165,33000.0,0.011262,1.51491e-05,-0.01397580785302645,0.011262
166,33200.0,0.0109084,1.51799e-05,-0.013742508851136025,0.0109084
167,33400.0,0.0105667,1.52107e-05,-0.01351095804089624,0.0105667
168,33600.0,0.0102365,1.52414e-05,-0.013281238036973767,0.0102365
169,33800.0,0.00991734,1.52722e-05,-0.013053498834753041,0.00991734
170,34000.0,0.00960889,1.53029e-05,-0.01282776763869937,0.00960889
171,34200.0,0.00931073,1.53335e-05,-0.012604168694713647,0.00931073
172,34400.0,0.0090225,1.53642e-05,-0.012382773126385423,0.0090225
173,34600.0,0.00874385,1.53948e-05,-0.012163648775053994,0.00874385
174,34800.0,0.00847443,1.54254e-05,-0.011946870043588778,0.00847443
175,35000.0,0.00821392,1.54559e-05,-0.01173248774380253,0.00821392
176,35200.0,0.00796201,1.54864e-05,-0.011520548947412964,0.00796201
177,35400.0,0.00771839,1.55169e-05,-0.011311106840470231,0.00771839
178,35600.0,0.00748277,1.55474e-05,-0.011104200581169562,0.00748277
179,35800.0,0.00725486,1.55778e-05,-0.01089987516097054,0.00725486
180,36000.0,0.00703441,1.56082e-05,-0.010698141268945987,0.00703441
181,36200.0,0.00682115,1.56385e-05,-0.010499035159285354,0.00682115
182,36400.0,0.00661483,1.56688e-05,-0.010302578521879309,0.00661483
183,36600.0,0.0064152,1.56991e-05,-0.010108798355913853,0.006415199999999999
184,36800.0,0.00622205,1.57294e-05,-0.009917686846403952,0.00622205
185,37000.0,0.00603513,1.57596e-05,-0.009729281243598373,0.00603513
186,37200.0,0.00585424,1.57898e-05,-0.009543573745188902,0.00585424
187,37400.0,0.00567917,1.582e-05,-0.009360571381258835,0.005679170000000001
188,37600.0,0.00550972,1.58502e-05,-0.009180275901906818,0.005509719999999999
189,37800.0,0.00534569,1.58803e-05,-0.009002693667484102,0.00534569
190,38000.0,0.00518691,1.59104e-05,-0.008827805541384261,0.0051869099999999994
191,38200.0,0.00503319,1.59404e-05,-0.008655616785326026,0.00503319
192,38400.0,0.00488436,1.59704e-05,-0.00848611695707134,0.004884360000000001
193,38600.0,0.00474025,1.60004e-05,-0.008319299810521923,0.00474025
194,38800.0,0.00460071,1.60304e-05,-0.008155143198139068,0.004600709999999999
195,39000.0,0.00446557,1.60603e-05,-0.00799364897563266,0.00446557
196,39200.0,0.0043347,1.60902e-05,-0.00783478290886662,0.0043347
197,39400.0,0.00420794,1.61201e-05,-0.007678544582929204,0.00420794
198,39600.0,0.00408516,1.615e-05,-0.007524907313317951,0.00408516
199,39800.0,0.00396623,1.61798e-05,-0.007373848059189852,0.00396623
200,40000.0,0.00385101,1.62096e-05,-0.007225357338628996,0.00385101
201,40200.0,0.00373939,1.62393e-05,-0.007079399145884596,0.0037393900000000004
202,40400.0,0.00363123,1.62691e-05,-0.006935970870533606,0.00363123
203,40600.0,0.00352644,1.62988e-05,-0.00679502321852323,0.0035264400000000005
204,40800.0,0.00342489,1.63284e-05,-0.006656550135049538,0.00342489
205,41000.0,0.00332648,1.63581e-05,-0.006520518729229537,0.0033264799999999997
206,41200.0,0.00323111,1.63877e-05,-0.006386899200524963,0.0032311100000000006
207,41400.0,0.00313867,1.64173e-05,-0.006255674766877092,0.0031386699999999997
208,41600.0,0.00304907,1.64468e-05,-0.00612681159451271,0.00304907
209,41800.0,0.00296222,1.64763e-05,-0.006000278729382512,0.00296222
210,42000.0,0.00287802,1.65058e-05,-0.005876058030193776,0.0028780200000000002
211,42200.0,0.00279639,1.65353e-05,-0.005754114103000433,0.00279639
212,42400.0,0.00271725,1.65647e-05,-0.0056344142373141925,0.00271725
213,42600.0,0.00264051,1.65942e-05,-0.0055169383437013945,0.0026405100000000004
214,42800.0,0.00256609,1.66235e-05,-0.005401658892831026,0.00256609
215,43000.0,0.00249393,1.66529e-05,-0.005288530855940164,0.00249393
216,43200.0,0.00242395,1.66822e-05,-0.00517753164668389,0.0024239499999999994
217,43400.0,0.00235607,1.67115e-05,-0.0050686410643374456,0.00235607
218,43600.0,0.00229024,1.67408e-05,-0.004961811238319235,0.00229024
219,43800.0,0.00222638,1.677e-05,-0.004857026574003932,0.00222638
220,44000.0,0.00216443,1.67992e-05,-0.004754253699795646,0.00216443
221,44200.0,0.00210433,1.68284e-05,-0.004653461415431945,0.0021043300000000006
222,44400.0,0.00204602,1.68576e-05,-0.004554620641490021,0.00204602
223,44600.0,0.00198945,1.68867e-05,-0.004457694370067095,0.0019894500000000002
224,44800.0,0.00193456,1.69158e-05,-0.004362657616607718,0.00193456
225,45000.0,0.00188129,1.69449e-05,-0.004269487372851339,0.0018812899999999999
226,45200.0,0.0018296,1.69739e-05,-0.004178142560874048,0.0018295999999999998
227,45400.0,0.00177943,1.70029e-05,-0.0040886039881990735,0.0017794300000000002
228,45600.0,0.00173074,1.70319e-05,-0.004000834303951177,0.0017307399999999997
229,45800.0,0.00168348,1.70609e-05,-0.00391480795603065,0.0016834800000000002
230,46000.0,0.0016376,1.70898e-05,-0.0038305011492832668,0.0016376
231,46200.0,0.00159307,1.71187e-05,-0.003747871804642905,0.0015930700000000002
232,46400.0,0.00154983,1.71476e-05,-0.0036669095192243704,0.0015498300000000003
233,46600.0,0.00150786,1.71764e-05,-0.003587565527344209,0.0015078599999999998
234,46800.0,0.0014671,1.72053e-05,-0.003509832662447995,0.0014670999999999998
235,47000.0,0.00142753,1.72341e-05,-0.0034336653199229673,0.0014275299999999998
236,47200.0,0.00139195,1.72341e-05,-0.003356199420775468,0.0013919500000000003
237,47400.0,0.00135725,1.72341e-05,-0.0032804823761530474,0.00135725
238,47600.0,0.00132341,1.72341e-05,-0.003206473052691592,0.0013234099999999997
239,47800.0,0.00129042,1.72341e-05,-0.003134121738668306,0.00129042
240,48000.0,0.00125825,1.72341e-05,-0.003063400110941786,0.0012582499999999998
241,48200.0,0.00122688,1.72341e-05,-0.002994271202660923,0.00122688
242,48400.0,0.0011963,1.72341e-05,-0.002926689371724676,0.0011963
243,48600.0,0.00116647,1.72341e-05,-0.00286064026997536,0.0011664700000000002
244,48800.0,0.00113739,1.72341e-05,-0.002796070813108297,0.0011373900000000003
245,49000.0,0.00110904,1.72341e-05,-0.002732949151281238,0.00110904
246,49200.0,0.00108139,1.72341e-05,-0.002671254640407232,0.0010813900000000002
247,49400.0,0.00105443,1.72341e-05,-0.002610947814115093,0.0010544300000000003
248,49600.0,0.00102815,1.72341e-05,-0.002551990356361905,0.0010281499999999998
249,49800.0,0.00100252,1.72341e-05,-0.00249436507468242,0.0010025200000000002
250,50000.0,0.000977525,1.72341e-05,-0.0024380408740605412,0.000977525
