altitudes_m,density_kg_m3,viscosity_Pa_s
45800.0,0.00168348,1.70609e-05
46000.0,0.0016376,1.70898e-05
46200.0,0.00159307,1.71187e-05
46400.0,0.00154983,1.71476e-05
46600.0,0.00150786,1.71764e-05
46800.0,0.0014671,1.72053e-05
47000.0,0.00142753,1.72341e-05
47200.0,0.00139195,1.72341e-05
47400.0,0.00135725,1.72341e-05
47600.0,0.00132341,1.72341e-05
47800.0,0.00129042,1.72341e-05
48000.0,0.00125825,1.72341e-05
48200.0,0.00122688,1.72341e-05
48400.0,0.0011963,1.72341e-05
48600.0,0.00116647,1.72341e-05
48800.0,0.00113739,1.72341e-05
49000.0,0.00110904,1.72341e-05
49200.0,0.00108139,1.72341e-05
49400.0,0.00105443,1.72341e-05
49600.0,0.00102815,1.72341e-05
49800.0,0.00100252,1.72341e-05
50000.0,0.000977525,1.72341e-05
