Organism	Feature_A	Feature_B	Mutual_Information
Homo sapiens	entropy	freq_K	0.1501
Homo sapiens	entropy	freq_L	0.1498
Homo sapiens	entropy	freq_M	0.0781
Homo sapiens	entropy	freq_N	0.1588
Homo sapiens	entropy	freq_P	0.163
Homo sapiens	entropy	freq_Q	0.0752
Homo sapiens	entropy	freq_R	0.1099
Homo sapiens	entropy	freq_S	0.0967
Homo sapiens	entropy	freq_T	0.0694
Homo sapiens	entropy	freq_V	0.0955
Homo sapiens	entropy	freq_W	0.1175
Homo sapiens	entropy	freq_Y	0.1999
Homo sapiens	hydrophobicity	freq_A	0.0307
Homo sapiens	hydrophobicity	freq_C	0.0843
Homo sapiens	hydrophobicity	freq_D	0.1379
Homo sapiens	hydrophobicity	freq_E	0.2779
Homo sapiens	hydrophobicity	freq_F	0.1595
Homo sapiens	hydrophobicity	freq_G	0.0335
Homo sapiens	hydrophobicity	freq_H	0.035
Homo sapiens	hydrophobicity	freq_I	0.1045
Homo sapiens	hydrophobicity	freq_K	0.1582
Homo sapiens	hydrophobicity	freq_L	0.2186
Homo sapiens	hydrophobicity	freq_M	0.0317
Homo sapiens	hydrophobicity	freq_N	0.0311
Homo sapiens	hydrophobicity	freq_P	0.049
Homo sapiens	hydrophobicity	freq_Q	0.1042
Homo sapiens	hydrophobicity	freq_R	0.0939
Homo sapiens	hydrophobicity	freq_S	0.0305
Homo sapiens	hydrophobicity	freq_T	0.0202
Homo sapiens	hydrophobicity	freq_V	0.2188
Homo sapiens	hydrophobicity	freq_W	0.0686
Homo sapiens	hydrophobicity	freq_Y	0.0546
Homo sapiens	freq_A	freq_C	0.0774
Homo sapiens	freq_A	freq_D	0.1291
Homo sapiens	freq_A	freq_E	0.1053
Homo sapiens	freq_A	freq_F	0.146
Homo sapiens	freq_A	freq_G	0.1373
Homo sapiens	freq_A	freq_H	0.1424
Homo sapiens	freq_A	freq_I	0.1614
Homo sapiens	freq_A	freq_K	0.1421
Homo sapiens	freq_A	freq_L	0.0868
Homo sapiens	freq_A	freq_M	0.1781
Homo sapiens	freq_A	freq_N	0.2093
Homo sapiens	freq_A	freq_P	0.1045
Homo sapiens	freq_A	freq_Q	0.1072
Homo sapiens	freq_A	freq_R	0.1294
Homo sapiens	freq_A	freq_S	0.0963
Homo sapiens	freq_A	freq_T	0.1285
Homo sapiens	freq_A	freq_V	0.1089
Homo sapiens	freq_A	freq_W	0.1362
Homo sapiens	freq_A	freq_Y	0.1522
Homo sapiens	freq_C	freq_D	0.156
Homo sapiens	freq_C	freq_E	0.1497
Homo sapiens	freq_C	freq_F	0.2104
Homo sapiens	freq_C	freq_G	0.1131
Homo sapiens	freq_C	freq_H	0.3717
Homo sapiens	freq_C	freq_I	0.1537
Homo sapiens	freq_C	freq_K	0.1453
Homo sapiens	freq_C	freq_L	0.0878
Homo sapiens	freq_C	freq_M	0.3546
Homo sapiens	freq_C	freq_N	0.1911
Homo sapiens	freq_C	freq_P	0.1422
Homo sapiens	freq_C	freq_Q	0.1819
Homo sapiens	freq_C	freq_R	0.1304
Homo sapiens	freq_C	freq_S	0.1083
Homo sapiens	freq_C	freq_T	0.13
Homo sapiens	freq_C	freq_V	0.0927
Homo sapiens	freq_C	freq_W	0.5759
Homo sapiens	freq_C	freq_Y	0.3044
Homo sapiens	freq_D	freq_E	0.2131
Homo sapiens	freq_D	freq_F	0.22
Homo sapiens	freq_D	freq_G	0.1346
Homo sapiens	freq_D	freq_H	0.2588
Homo sapiens	freq_D	freq_I	0.1757
Homo sapiens	freq_D	freq_K	0.1751
Homo sapiens	freq_D	freq_L	0.1277
Homo sapiens	freq_D	freq_M	0.2825
Homo sapiens	freq_D	freq_N	0.2192
Homo sapiens	freq_D	freq_P	0.159
Homo sapiens	freq_D	freq_Q	0.2021
Homo sapiens	freq_D	freq_R	0.162
Homo sapiens	freq_D	freq_S	0.1229
Homo sapiens	freq_D	freq_T	0.1999
Homo sapiens	freq_D	freq_V	0.1475
Homo sapiens	freq_D	freq_W	0.2509
Homo sapiens	freq_D	freq_Y	0.2192
Homo sapiens	freq_E	freq_F	0.1952
Homo sapiens	freq_E	freq_G	0.1386
Homo sapiens	freq_E	freq_H	0.159
